id,対象日,通貨,レート（終値）,ステーキング申込合計数量,ステーキングキャンセル合計数量,報酬,利益（自社取り分）
530,"2025-07-19","ETH","360,903","0","0","0","0"
531,"2025-08-10","ETH","563,476","0","0","0","0"
532,"2025-08-12","ETH","654,187","0","0","0","0"
533,"2025-08-28","ETH","631,994","0","0","0","0"
534,"2025-09-20","ADA","121","0","0","0","0"
535,"2025-10-03","ADA","121","0","0","0","0"
536,"2025-10-14","ADA","121","0","0","0","0"
537,"2025-10-15","ETH","618,582","0","0","0","0"
538,"2025-11-23","ETH","439,496","0","0","0","0"
539,"2025-02-04","ADA","154","0","0","0","0"
540,"2025-02-08","ETH","547,737","0","0","0","0"
541,"2025-02-17","ETH","547,737","0","0","0","0"
542,"2025-03-03","ETH","547,737","0","0","0","0"
543,"2025-03-07","ADA","147","0","0","0","0"
544,"2025-03-17","ADA","147","0","0","0","0"
545,"2025-03-23","ADA","147","0","0","0","0"
546,"2025-04-02","ETH","547,737","0","0","0","0"
547,"2025-04-06","ADA","147","0","0","0","0"
548,"2025-04-06","ETH","547,737","0","0","0","0"
549,"2025-04-17","ADA","147","0","0","0","0"
550,"2025-05-08","ADA","100","0","0","0","0"
551,"2025-05-11","ADA","100","0","0","0","0"
552,"2025-05-12","ETH","227,355","0","0","0","0"
553,"2025-05-25","ADA","98","0","0","0","0"
554,"2025-06-02","ETH","1,184,932","0","0","0","0"
555,"2025-07-03","ETH","360,903","0","0","0","0"
556,"2025-07-10","ETH","360,903","0","0","0","0"
557,"2025-07-14","ETH","360,903","0","0","0","0"
558,"2025-07-16","ADA","73","0","0","0","0"
559,"2025-07-26","ETH","563,631","0","0","0","0"
560,"2025-07-27","ETH","563,631","0","0","0","0"
561,"2025-08-04","ADA","113","0","0","0","0"
562,"2025-08-09","ADA","114","0","0","0","0"
563,"2025-08-10","ADA","114","0","0","0","0"
564,"2025-08-20","ADA","118","0","0","0","0"
565,"2025-09-21","ETH","689,364","0","0","0","0"
566,"2025-09-30","ETH","618,582","0","0","0","0"
567,"2025-10-20","ETH","618,582","0","0","0","0"
568,"2025-12-06","ADA","0","0","0","0","0"
